,City Name,Cloudiness (%),Country,Date,Humidity (%),Lat,Lng,Max Temp (F),Wind Speed (MPH)
0,Bilma,0,NE,1551829250,35,18.69,12.92,53.64,2.59
1,Yellowknife,20,CA,1551826800,61,62.45,-114.38,15.8,4.7
2,Igrim,12,RU,1551829250,78,63.19,64.42,1.71,7.85
3,Itaituba,20,BR,1551829250,76,-4.26,-55.99,80.64,4.27
4,Cape Town,0,ZA,1551828771,88,-33.93,18.42,69.01,6.93
5,New Norfolk,75,AU,1551829040,50,-42.78,147.06,57.99,6.93
6,Coquimbo,0,CL,1551826800,82,-29.95,-71.34,64.4,9.17
7,Hobart,75,AU,1551828794,50,-42.88,147.33,57.99,6.93
8,Ribeira Grande,0,PT,1551828880,100,38.52,-28.7,58.23,15.68
9,Cherskiy,88,RU,1551828827,75,68.75,161.3,0.0,2.93
10,Joao Camara,40,BR,1551826800,88,-5.54,-35.82,78.8,3.36
11,Tha Mai,24,TH,1551829031,62,12.62,102.01,84.99,9.08
12,Busselton,48,AU,1551828680,35,-33.64,115.35,62.01,21.27
13,Rikitea,76,PF,1551828885,97,-23.12,-134.97,80.82,15.12
14,Ushuaia,40,AR,1551826800,75,-54.81,-68.31,42.8,29.97
15,Albany,75,US,1551828910,38,42.65,-73.75,26.01,11.41
16,Aklavik,5,CA,1551826800,61,68.22,-135.01,17.6,4.7
17,Boa Vista,20,BR,1551826800,38,2.82,-60.67,91.4,6.93
18,Mataura,0,NZ,1551828610,61,-46.19,168.86,78.01,4.0
19,General Roca,0,AR,1551826800,52,-39.03,-67.58,68.0,4.5
20,Vaini,8,IN,1551828976,86,15.34,74.49,54.36,1.81
21,Alofi,40,NU,1551826800,62,-19.06,-169.92,84.2,18.34
22,Oksfjord,75,NO,1551829209,85,70.24,22.35,25.0,20.8
23,Winnemucca,90,US,1551828667,65,40.97,-117.74,46.4,5.82
24,Qaanaaq,36,GL,1551828882,82,77.48,-69.36,-9.5,5.17
25,Praia Da Vitoria,40,PT,1551828645,62,38.73,-27.07,55.4,20.49
26,Belidzhi,8,RU,1551829286,92,41.87,48.39,41.76,7.18
27,Ahtopol,20,BG,1551828657,71,42.1,27.94,53.6,10.29
28,Wabana,90,CA,1551829117,73,47.63,-52.95,28.0,21.92
29,Sampit,80,ID,1551829286,95,-2.54,112.95,75.38,5.39
30,Vila Franca Do Campo,40,PT,1551829177,62,37.72,-25.43,55.4,12.75
31,East London,20,ZA,1551829174,100,-33.02,27.91,75.42,22.62
32,Georgetown,20,GY,1551826800,83,6.8,-58.16,80.6,4.7
33,Langsa,32,ID,1551829287,95,4.47,97.97,68.85,2.04
34,Mogadishu,12,SO,1551829287,100,2.04,45.34,80.33,17.36
35,Kavaratti,92,IN,1551829287,100,10.57,72.64,80.28,10.31
36,Hinton,0,CA,1551829288,50,53.4,-117.57,15.57,2.93
37,Vila Velha,40,BR,1551829096,83,-3.71,-38.6,81.0,6.93
38,Labuhan,88,ID,1551829288,96,-2.54,115.51,73.35,3.15
39,Atuona,36,PF,1551828983,100,-9.8,-139.03,82.08,16.91
40,Puerto Ayora,20,EC,1551826800,66,-0.74,-90.35,84.2,10.29
41,Port Elizabeth,1,US,1551828984,58,39.31,-74.98,33.8,4.7
42,Nunspeet,75,NL,1551829284,87,52.38,5.78,46.99,9.17
43,Sibi,0,PK,1551829289,61,29.55,67.88,51.39,3.27
44,North Platte,1,US,1551829197,49,41.12,-100.77,26.6,8.05
45,Lavrentiya,92,RU,1551828972,98,65.58,-170.99,29.52,9.98
46,Avarua,76,CK,1551826800,61,-21.21,-159.78,82.4,11.41
47,Guilin,90,CN,1551826800,93,25.28,110.29,51.8,4.47
48,Tasiilaq,20,GL,1551826200,44,65.61,-37.64,19.4,24.16
49,Hermanus,0,ZA,1551828716,79,-34.42,19.24,69.01,7.0
50,Thompson,75,CA,1551826800,60,55.74,-97.86,5.0,9.17
51,Luanda,40,AO,1551826800,94,-8.83,13.24,75.2,3.36
52,Nikolskoye,40,RU,1551828635,85,59.7,30.79,16.0,13.42
53,Provideniya,0,RU,1551826800,73,64.42,-173.23,26.6,6.71
54,Tilichiki,12,RU,1551829290,89,60.47,166.1,13.77,3.94
55,Bluff,20,AU,1551828982,57,-23.58,149.07,84.83,10.42
56,Tara,92,JP,1551829270,87,33.0,130.15,55.4,3.36
57,Klaksvik,44,FO,1551828000,74,62.23,-6.59,37.4,3.36
58,Castro,90,CL,1551826800,100,-42.48,-73.76,55.4,16.11
59,Namibe,36,AO,1551829290,100,-15.19,12.15,78.26,0.69
60,San Miguel,0,AR,1551829092,73,-34.54,-58.72,75.99,5.82
61,Platanos,1,GR,1551829264,97,35.47,23.6,57.0,4.7
62,Sao Filipe,0,CV,1551829180,97,14.9,-24.5,70.38,17.81
63,Vao,0,EE,1551828855,73,59.1,26.19,13.68,9.53
64,Nizhniy Odes,80,RU,1551829291,73,63.64,54.86,14.94,11.1
65,Ous,64,RU,1551829178,80,60.91,61.52,5.67,7.74
66,Ossora,64,RU,1551829291,96,59.24,163.07,12.38,5.95
67,Ostrovnoy,68,RU,1551828918,78,68.05,39.51,11.52,19.04
68,Chuy,0,UY,1551828826,94,-33.69,-53.46,68.04,8.41
69,Saskylakh,64,RU,1551828917,60,71.97,114.09,-7.56,8.41
70,Bredasdorp,0,ZA,1551827819,88,-34.53,20.04,69.01,1.12
71,Lima,0,PE,1551828728,69,-12.06,-77.04,78.01,8.05
72,Iqaluit,5,CA,1551828766,75,63.75,-68.52,-16.01,0.81
73,Phuket,20,TH,1551826800,83,7.89,98.4,75.2,10.2
74,Punta Arenas,75,CL,1551828190,52,-53.16,-70.91,48.2,6.93
75,Yar-Sale,0,RU,1551829291,71,66.83,70.83,-10.58,6.17
76,Margate,75,AU,1551829040,50,-43.03,147.26,57.99,6.93
77,Ambilobe,68,MG,1551829292,98,-13.19,49.05,72.41,3.15
78,Mama,40,MX,1551828705,62,20.48,-89.36,84.2,14.99
79,Gisborne,0,NZ,1551828608,67,-38.66,178.02,71.01,4.0
80,Puerto El Triunfo,40,SV,1551826200,70,13.27,-88.55,87.8,9.17
81,Saint-Philippe,90,CA,1551828976,78,45.36,-73.48,17.6,7.85
82,La Plaine,0,FR,1551829258,61,45.17,5.76,48.2,6.93
83,Chicama,75,PE,1551826800,83,-7.84,-79.15,77.0,9.17
84,Upernavik,24,GL,1551829296,100,72.79,-56.15,10.58,9.98
85,Bethel,75,US,1551828120,93,60.79,-161.76,35.6,10.29
86,Dikson,76,RU,1551828854,100,73.51,80.55,10.13,13.56
87,Jakar,64,BT,1551829297,90,27.55,90.75,26.19,1.25
